country_name,country_code_ISO3,country_code
Afganistán,AFG,4
Åland Islands,ALI,248
Albania,ALB,8
Alemania,DEU,276
Andorra,AND,20
Angola,AGO,24
Anguila,AIA,660
Antártida,ATA,10
Antigua y Barbuda,ATG,28
Antillas Neerlandesas,ANT,530
Arabia Saudita,SAU,682
Argelia,DZA,12
Argentina,ARG,32
Armenia,ARM,51
Aruba,ABW,533
Australia,AUS,36
Austria,AUT,40
Azerbaiyán,AZE,31
Bahamas,BHS,44
Bahrein,BHR,48
Bangladesh,BGD,50
Barbados,BRB,52
Belarús,BLR,112
Bélgica,BEL,56
Bélgica-Luxemburgo,BLX,58
Belice,BLZ,84
Benin,BEN,204
Bermudas,BMU,60
Bhután,BTN,64
Bolivia,BOL,68
Bonaire,BES,535
Bosnia y Herzegovina,BIH,70
Botswana,BWA,72
Brasil,BRA,76
Brunei Darussalam,BRN,96
Bulgaria,BGR,100
Burkina Faso,BFA,854
Burundi,BDI,108
Cabo Verde,CPV,132
Camboya,KHM,116
Camerún,CMR,120
Canadá,CAN,124
Categorías especiales,SPE,839
Chad,TCD,148
Checoslovaquia,CSK,200
Chile,CHL,152
China,CHN,156
Chipre,CYP,196
Colombia,COL,170
Comando I del Pacífico de Estados Unidos,USP,849
Comoras,COM,174
"Congo, Rep. del",COG,178
"Congo, Rep. Dem. del",ZAR,180
"Corea, Rep. de",KOR,410
"Corea, Rep. Dem. de",PRK,408
Costa Rica,CRI,188
Côte d'Ivoire,CIV,384
Croacia,HRV,191
Cuba,CUB,192
Curacao,CUW,531
Dinamarca,DNK,208
Djibouti,DJI,262
Dominica,DMA,212
Ecuador,ECU,218
"Egipto, Rep. �?rabe de",EGY,818
El Salvador,SLV,222
Emiratos �?rabes Unidos,ARE,784
Eritrea,ERI,232
Eslovenia,SVN,705
España,ESP,724
Estados Unidos,USA,840
Estonia,EST,233
Etiopía (excluida Eritrea),ETH,231
Etiopía (incluida Eritrea),ETF,230
European Union,EUN,918
Ex Sudán,SDN,736
Federación de Rusia,RUS,643
Fiji,FJI,242
Filipinas,PHL,608
Finlandia,FIN,246
Fm Panama Cz,PCZ,592
Fm Rhod Nyas,ZW1,717
Fm Tanganyik,TAN,835
Fm Vietnam DR,VDR,866
Fm Vietnam Rp,SVR,868
Fm Zanz-Pemb,ZPM,836
Francia,FRA,250
Gabón,GAB,266
Gambia,GMB,270
Gaza Strip,GAZ,274
Georgia,GEO,268
Ghana,GHA,288
Gibraltar,GIB,292
Granada,GRD,308
Grecia,GRC,300
Groenlandia,GRL,304
Guadalupe,GLP,312
Guam,GUM,316
Guatemala,GTM,320
Guayana Francesa,GUF,254
Guinea,GIN,324
Guinea Ecuatorial,GNQ,226
Guinea-Bissau,GNB,624
Guyana,GUY,328
Haití,HTI,332
Honduras,HND,340
Hong Kong (China),HKG,344
Hungría,HUN,348
India,IND,356
Indonesia,IDN,360
"Irán, Rep. Islámica del",IRN,364
Iraq,IRQ,368
Irlanda,IRL,372
Isla Bouvet,BVT,74
